JourneyRef,DistanceMade,RecordedAt
2022-08-16-53379523,84,2022-08-16 07:31:25
2022-08-16-53379523,137,2022-08-16 07:31:37
2022-08-16-53379523,485,2022-08-16 07:31:53
2022-08-16-53379523,485,2022-08-16 07:32:02
2022-08-16-53379523,506,2022-08-16 07:32:18
2022-08-16-53379523,559,2022-08-16 07:32:27
2022-08-16-53379523,836,2022-08-16 07:32:56
2022-08-16-53379523,1058,2022-08-16 07:33:11
2022-08-16-53379523,1114,2022-08-16 07:33:40
2022-08-16-53379523,1249,2022-08-16 07:33:56
2022-08-16-53379523,1300,2022-08-16 07:34:09
2022-08-16-53379523,1470,2022-08-16 07:34:26
2022-08-16-53379523,1709,2022-08-16 07:34:41
2022-08-16-53379523,1965,2022-08-16 07:34:56
2022-08-16-53379523,2244,2022-08-16 07:35:09
2022-08-16-53379523,2244,2022-08-16 07:35:22
2022-08-16-53379523,2342,2022-08-16 07:35:52
2022-08-16-53379523,2461,2022-08-16 07:36:06
2022-08-16-53379523,2635,2022-08-16 07:36:25
2022-08-16-53379523,2718,2022-08-16 07:36:38
2022-08-16-53379523,2916,2022-08-16 07:36:49
2022-08-16-53379523,2916,2022-08-16 07:37:01
2022-08-16-53379523,3026,2022-08-16 07:37:24
2022-08-16-53379523,3217,2022-08-16 07:37:37
2022-08-16-53379523,3217,2022-08-16 07:37:51
2022-08-16-53379523,3458,2022-08-16 07:38:25
2022-08-16-53379523,3628,2022-08-16 07:38:40
2022-08-16-53379523,3928,2022-08-16 07:38:56
2022-08-16-53379523,3928,2022-08-16 07:39:06
2022-08-16-53379523,4124,2022-08-16 07:39:19
2022-08-16-53379523,4124,2022-08-16 07:39:41
2022-08-16-53379523,4175,2022-08-16 07:40:08
2022-08-16-53379523,4285,2022-08-16 07:40:23
2022-08-16-53379523,4449,2022-08-16 07:40:39
2022-08-16-53379523,4506,2022-08-16 07:40:45
2022-08-16-53379523,4614,2022-08-16 07:41:11
2022-08-16-53379523,4788,2022-08-16 07:41:21
2022-08-16-53379523,4820,2022-08-16 07:41:42
2022-08-16-53379523,4939,2022-08-16 07:41:51
